Country,Year,total_vehicles_sold,EV_market_share
Argentina,2018,803040.0,0.0
Argentina,2019,459592.0,0.0
Argentina,2020,303793.0,0.0
Argentina,2021,381777.0,0.0
Argentina,2022,407532.0,0.0192
Argentina,2023,449438.0,0.0008
Argentina,2024,390467.0,0.001
Argentina,2025,571308.0,0.0035
Australia,2018,1153111.0,0.3
Australia,2019,1062867.0,0.6
Australia,2020,916968.0,0.78
Australia,2021,1049831.0,2.4
Australia,2022,1081429.0,5.1
Australia,2023,1216780.0,8.1
Australia,2024,1237287.0,9.65
Australia,2025,1241037.0,13.1
Austria,2018,341598.0,2.6
Austria,2019,329363.0,3.5
Austria,2020,248740.0,9.5
Austria,2021,239803.0,20.0
Austria,2022,215050.0,22.0
Austria,2023,239150.0,27.0
Austria,2024,253789.0,17.6
Austria,2025,284978.0,17.0
Belgium,2018,549627.0,2.5
Belgium,2019,550009.0,3.2
Belgium,2020,431491.0,10.7
Belgium,2021,383123.0,18.4
Belgium,2022,366087.0,26.5
Belgium,2023,540306.0,40.7
Belgium,2024,568059.0,52.3
Belgium,2025,414771.0,43.8
Brazil,2018,2566433.0,0.002
Brazil,2019,2787850.0,0.004
Brazil,2020,2058437.0,0.01
Brazil,2021,2119851.0,0.018
Brazil,2022,2104461.0,1.0
Brazil,2023,2308689.0,2.4
Brazil,2024,2634904.0,3.4
Brazil,2025,2690000.0,5.0
California,2018,2000000.0,7.6
California,2019,1960000.0,7.8
California,2020,1640000.0,7.6
California,2021,1860000.0,12.2
California,2022,1670000.0,19.1
California,2023,1770000.0,24.8
California,2024,1750000.0,0.22
California,2025,1790000.0,29.1
Canada,2018,1984992.0,2.2
Canada,2019,1914357.0,3.0
Canada,2020,1537388.0,3.5
Canada,2021,1638398.0,6.6
Canada,2022,1510000.0,8.2
Canada,2023,1755741.0,10.8
Canada,2024,1860000.0,14.6
Canada,2025,1897058.0,10.4
Chile,2018,417038.0,1.2
Chile,2019,373277.0,1.3
Chile,2020,258835.0,2.4
Chile,2021,415581.0,3.0
Chile,2022,425856.0,4.5
Chile,2023,319568.0,5.0
Chile,2024,302309.0,2.3
Chile,2025,310784.0,10.6
China,2018,28080000.0,4.2
China,2019,25769000.0,4.9
China,2020,25311000.0,5.4
China,2021,26275000.0,15.0
China,2022,26864000.0,30.0
China,2023,30094000.0,37.0
China,2024,31440000.0,47.2
China,2025,34400000.0,54.0
Colombia,2018,256662.0,0.0
Colombia,2019,263684.0,0.0035
Colombia,2020,188665.0,0.00208
Colombia,2021,200914.0,0.012
Colombia,2022,262595.0,2.0
Colombia,2023,186826.0,3.0
Colombia,2024,200953.0,4.6
Colombia,2025,254215.0,0.091
Costa Rica (BEVs only),2018,39530.0,0.0
Costa Rica (BEVs only),2019,34515.0,0.0
Costa Rica (BEVs only),2020,23210.0,3.0
Costa Rica (BEVs only),2021,27140.0,3.0
Costa Rica (BEVs only),2022,40048.0,7.3
Costa Rica (BEVs only),2023,40690.0,11.6
Costa Rica (BEVs only),2024,75000.0,15.0
Costa Rica (BEVs only),2025,87750.0,25.6
Denmark,2018,218592.0,2.0
Denmark,2019,224208.0,4.2
Denmark,2020,198165.0,16.4
Denmark,2021,185328.0,35.2
Denmark,2022,148298.0,38.6
Denmark,2023,172763.0,46.1
Denmark,2024,173057.0,51.5
Denmark,2025,183039.0,71.1
Europe,2018,15625752.0,2.5
Europe,2019,15805752.0,3.6
Europe,2020,11961182.0,11.4
Europe,2021,11774885.0,19.0
Europe,2022,11286939.0,22.9
Europe,2023,12847481.0,23.4
Europe,2024,12963614.0,0.23
Europe,2025,13271270.0,26.8
Finland,2018,116743.0,4.7
Finland,2019,114169.0,6.9
Finland,2020,93103.0,18.1
Finland,2021,95811.0,30.8
Finland,2022,80061.0,37.5
Finland,2023,86071.0,54.4
Finland,2024,74065.0,49.6
Finland,2025,124340.0,56.8
France,2018,2177510.0,2.11
France,2019,2214279.0,2.8
France,2020,2052498.0,11.2
France,2021,2091630.0,18.3
France,2022,1877107.0,21.6
France,2023,2153937.0,26.0
France,2024,2155052.0,25.4
France,2025,1992659.0,26.7
Germany,2018,3435778.0,1.9
Germany,2019,3607258.0,3.0
Germany,2020,2917678.0,13.5
Germany,2021,2622132.0,26.0
Germany,2022,2651357.0,31.4
Germany,2023,2844609.0,24.6
Germany,2024,2817331.0,20.3
Germany,2025,2857591.0,30.0
Greece,2018,103431.0,0.0025
Greece,2019,114109.0,0.0042
Greece,2020,80977.0,0.0264
Greece,2021,100838.0,0.0687
Greece,2022,105280.0,2.8
Greece,2023,134490.0,5.4
Greece,2024,148701.0,12.4
Greece,2025,144199.0,6.1
Hong Kong,2018,39139.0,0.0
Hong Kong,2019,34116.0,5.0
Hong Kong,2020,37279.0,14.0
Hong Kong,2021,39309.0,23.0
Hong Kong,2022,36900.0,60.0
Hong Kong,2023,51715.0,64.1
Hong Kong,2024,52232.0,90.8
Hong Kong,2025,49139.0,13.1
Iceland,2018,17866.0,17.2
Iceland,2019,13137.0,22.6
Iceland,2020,9184.0,45.0
Iceland,2021,16108.0,54.7
Iceland,2022,20779.0,56.1
Iceland,2023,17542.0,64.0
Iceland,2024,10220.0,31.0
Iceland,2025,14547.0,80.0
India,2018,3380000,0.1
India,2019,2960000,0.1
India,2020,2430000,0.2
India,2021,3000000,0.5
India,2022,3860000,1.2
India,2023,4000000,2.1
India,2024,4350000,2.3
India,2025,4550000,4.45
Indonesia,2018,1151291.0,0.0
Indonesia,2019,1030126.0,0.002
Indonesia,2020,578327.0,0.0002
Indonesia,2021,887202.0,0.0008
Indonesia,2022,1013582.0,0.0099
Indonesia,2023,1005802.0,0.014
Indonesia,2024,889680.0,0.0499
Indonesia,2025,833692.0,0.1293
Ireland,2018,125671.0,1.57
Ireland,2019,145104.0,4.1
Ireland,2020,112122.0,7.4
Ireland,2021,136389.0,15.7
Ireland,2022,105483.0,22.2
Ireland,2023,121993.0,27.1
Ireland,2024,154846.0,24.75
Ireland,2025,160448.0,34.0
Israel,2018,267477.0,0.0
Israel,2019,253819.0,0.1
Israel,2020,214544.0,0.6
Israel,2021,306012.0,3.8
Israel,2022,268141.0,10.0
Israel,2023,268878.0,18.0
Israel,2024,271735.0,24.5
Israel,2025,293591.0,15.5
Italy,2018,1910025.0,0.26
Italy,2019,1916320.0,0.6
Italy,2020,1381496.0,4.3
Italy,2021,1457952.0,9.3
Italy,2022,1316702.0,8.8
Italy,2023,1566448.0,8.6
Italy,2024,1558704.0,7.5
Italy,2025,1530000.0,12.5
Japan,2018,5272067.0,1.0
Japan,2019,5195216.0,0.9
Japan,2020,4598615.0,0.6
Japan,2021,4448340.0,1.0
Japan,2022,4201321.0,3.0
Japan,2023,4779086.0,3.6
Japan,2024,4421494.0,1.8
Japan,2025,4565777.0,2.0
Kazakhstan,2018,58465.0,0
Kazakhstan,2019,75093.0,0
Kazakhstan,2020,92979.0,0
Kazakhstan,2021,119454.0,0
Kazakhstan,2022,123779.0,0.01
Kazakhstan,2023,198842.0,0.02
Kazakhstan,2024,205111.0,0.02
Kazakhstan,2025,234852.0,0.05
Latvia,2018,19325.0,0.5
Latvia,2019,19488.0,1.0
Latvia,2020,13720.0,2.5
Latvia,2021,14344.0,5.0
Latvia,2022,19180.0,8.0
Latvia,2023,21204.0,10.0
Latvia,2024,17128.0,9.5
Latvia,2025,25194.0,7.1
