Country,Year,Global_Production,ev_production_amount
Algeria,2018,70597.0,0
Algeria,2019,60012.0,0
Algeria,2021,5208.0,0
Algeria,2022,2773.0,0
Algeria,2023,2456.0,0
Algeria,2024,30108.0,0
Argentina,2018,466649.0,0
Argentina,2019,314787.0,0
Argentina,2021,434753.0,0
Argentina,2022,536893.0,0
Argentina,2023,610725.0,0
Argentina,2024,506571.0,0
Australia,2018,6371.0,0
Australia,2019,5606.0,0
Australia,2021,5391.0,0
Australia,2022,6077.0,0
Australia,2023,7141.0,0
Austria,2018,164900.0,0
Austria,2019,179400.0,0
Austria,2021,136700.0,0
Austria,2022,107500.0,0
Austria,2023,114191.0,0
Austria,2024,71785.0,0
Azerbaijan,2018,1453.0,0
Azerbaijan,2019,3014.0,0
Azerbaijan,2021,3870.0,0
Azerbaijan,2022,3050.0,0
Azerbaijan,2023,5110.0,0
Azerbaijan,2024,6815.0,0
Azerbaijan,2025,4311.0,0
Bangladesh,2018,580.0,0
Bangladesh,2024,24.0,0
Belarus,2018,23235.0,0
Belarus,2019,30487.0,0
Belarus,2021,29891.0,0
Belgium,2018,308493.0,0
Belgium,2019,285797.0,0
Belgium,2021,261038.0,0
Belgium,2022,276554.0,0
Belgium,2023,332103.0,0
Belgium,2024,240366.0,0
Brazil,2018,2879809.0,0
Brazil,2019,2944988.0,0
Brazil,2021,2248253.0,0
Brazil,2022,2369769.0,0
Brazil,2023,2324838.0,0
Brazil,2024,2549595.0,0
Canada,2018,2020840.0,0
Canada,2019,1916585.0,0
Canada,2021,1115002.0,0
Canada,2022,1228735.0,0
Canada,2023,1553026.0,0
Canada,2024,1320420.0,25000
China,2018,27809196.0,0
China,2019,25720665.0,0
China,2021,26082220.0,0
China,2022,27020615.0,0
China,2023,30160966.0,12870000
China,2024,31281592.0,12400000
China,2025,34778000.0,16000000
Colombia,2018,75476.0,0
Colombia,2019,78020.0,0
Colombia,2021,40764.0,0
Colombia,2022,51455.0,0
Colombia,2023,34700.0,0
Colombia,2024,23778.0,0
Country,2025,2025.0,0
Czech Republic,2018,1442884.0,0
Czech Republic,2019,1433963.0,0
Czech Republic,2021,1111432.0,0
Czech Republic,2022,1224456.0,0
Czech Republic,2023,1404501.0,0
Czech Republic,2024,1458892.0,0
Ecuador,2018,2700.0,0
Egypt,2018,71600.0,0
Egypt,2019,18500.0,0
Egypt,2021,23754.0,0
Finland,2018,112104.0,0
Finland,2019,114785.0,0
Finland,2021,93172.0,0
Finland,2022,73044.0,0
Finland,2023,30191.0,0
Finland,2024,22384.0,0
France,2018,2270000.0,0
France,2019,2202460.0,0
France,2021,1351308.0,0
France,2022,1383173.0,0
France,2023,1505079.0,0
France,2024,1357701.0,0
Germany,2018,5120409.0,0
Germany,2019,4661328.0,0
