vehicles_per_1000_people,Road motor vehicles,Population,Year,Country
1606.0,53940,33581,2024,San Marino
1389.0,88532,63726,2022,Guernsey (UK)
1234.0,127911,103675,2023,Jersey (UK)
1214.0,98183,80856,2023,Andorra
999.0,23353315,23374742,2025,Taiwan
817.0,470000,5334200,2023,New Zealand
805.0,475000,455370,2022,Brunei
779.0,259238294,333287557,2023,United States
776.0,20142942,25956418,2021,Australia
775.0,125455,161808,2019,Guam (US)
767.0,31340,39870,2024,Liechtenstein
701.0,44888074,59619115,2024,Italy
678.0,23822322,35126298,2023,Malaysia
677.0,26302526,38831259,2022,Canada
670.0,550580,673036,2024,Luxembourg
670.0,82876295,123753041,2024,Japan
666.0,4221852,5617311,2024,Finland
661.0,724925,1331370,2024,Cyprus
650.0,260000,397539,2022,Bahamas
639.0,306563,393396,2024,Iceland
635.0,998852,1350092,2024,Estonia
629.0,25757062,38385739,2024,Poland
608.0,7082522,10673213,2022,Czech Republic
603.0,41700000,69138192,2024,United Kingdom
598.0,1811748,2816920,2024,Lithuania
598.0,54891,91846,2020,Antigua and Barbuda
590.0,52714433,84086227,2024,Germany
502.0,3286249,5450626,2024,Slovakia
579.0,44444965,66277409,2024,France
579.0,5777241,10412480,2024,Greece
576.0,438567,532956,2024,Malta
569.0,5185006,9104772,2024,Austria
567.0,7198871,10417073,2024,Portugal
544.0,30724166,47828383,2024,Spain
543.0,25374,46758,2023,Saint Kitts and Nevis
542.0,5301789,8792182,2024,Switzerland
522.0,28562,54714,2023,Faroe Islands (Denmark)
521.0,2522933,4838782,2023,Kuwait
517.0,3469692,5519167,2024,Norway
514.0,2600000,5059988,2021,Costa Rica
513.0,6977664,11641820,2024,Belgium
513.0,10062194,17904421,2024,Netherlands
513.0,2070123,3907027,2024,Croatia
513.0,5810888,11331266,2023,Dominican Republic
587.0,1228051,2115228,2024,Slovenia
501.0,25949201,51748739,2023,South Korea
484.0,3006215,6447710,2024,Bulgaria
478.0,3222575,5948137,2024,Denmark
476.0,747350,1569666,2023,Bahrain
470.0,5682251,10487338,2024,Sweden
466.0,2737924,5110016,2024,Ireland
466.0,9810000,21049429,2020,Syria
463.0,3260000,7045399,2020,Libya
447.0,4763466,9684306,2024,Hungary
444.0,9148003,19166773,2024,Romania
439.0,4000000,9103151,2022,Israel
425.0,120000,282318,2022,Barbados
424.0,871153,1881063,2024,Latvia
424.0,5000,11801,2022,Nauru
417.0,242599,616695,2024,Montenegro
414.0,1680400,3807492,2024,Georgia
412.0,3116550,7559008,2022,Laos
394.0,241391,612317,2020,Suriname
377.0,2389105,6641197,2024,Serbia
366.0,8352213,22834965,2022,Sri Lanka
364.0,53000000,145440501,2023,Russia
354.0,30261176,85372377,2023,Turkey
354.0,982349,3039985,2024,Moldova
353.0,251867,713912,2023,Macao (China)
347.0,1192520,3431933,2023,Mongolia
328.0,867765,2811655,2024,Albania
323.0,1704873,5281538,2024,Oman
321.0,978229,3473003,2024,Bosnia and Herzegovina
318.0,483482,1837114,2024,North Macedonia
312.0,40524791,129739759,2025,Mexico
312.0,6100000,19553037,2022,Chile
303.0,900692,2973841,2024,Armenia
271.0,18311,67573,2020,Dominica
251.0,353000000,1408280000,2024,China
250.0,5085400,20330104,2023,Kazakhstan
250.0,131000,524107,2022,Maldives
237.0,10500000,44298640,2021,Ukraine
232.0,460105,1700031,2024,Kosovo
208.0,13304703,64007187,2024,South Africa
203.0,575041,2839144,2022,Jamaica
200.0,1300000,6494035,2019,Kyrgyzstan
182.0,15963000,87723443,2020,Iran
180.0,20465515,113964339,2024,Philippines
176.0,7731664,44042091,2020,Algeria
173.0,2000000,11552876,2024,Jordan
172.0,996732,5789090,2023,Singapore
169.0,1738940,10318207,2023,Azerbaijan
162.0,126501,780915,2022,Bhutan
158.0,16717,105567,2018,Tonga
149.0,4235000,28444078,2020,Venezuela
143.0,2535853,17682455,2021,Ecuador
142.0,130000,914963,2020,Fiji
132.0,7138410,54133798,2022,Myanmar
126.0,7054,55923,2023,Greenland (Denmark)
124.0,925171,7465915,2022,Hong Kong (China)
121.0,30000000,247504496,2023,Pakistan
113.0,4120000,36584208,2020,Morocco
112.0,4715000,42116605,2020,Iraq
99.0,11014,110917,2020,Micronesia
91.0,1467955,16069056,2022,Zimbabwe
87.0,3051734,34938956,2022,Uzbekistan
87.0,9950000,114535772,2023,Egypt
82.0,23050000,281190067,2024,Indonesia
78.0,200000,2576010,2021,Gambia
59.0,13500000,218529287,2021,Nigeria
55.0,2342543,42647492,2024,Afghanistan
45.0,853909,19059395,2020,Zambia
43.0,4180480,98079191,2020,Vietnam
38.0,50000000,1328024498,2024,India
35.0,40000,1137096,2022,Djibouti
34.0,5982765,173562364,2024,Bangladesh
21.0,370000,17423881,2023,Cambodia
20.0,264524,13065837,2020,Rwanda
10.0,1200110,118917672,2020,Ethiopia
1.1,30000,26498823,2024,North Korea
1592.0,53900,33860,2023,San Marino
1010.0,65400,64781,2023,Guernsey (UK)
967.1,23136070,23923276,2023,Taiwan
699.0,320807,458949,2023,Brunei
786.1,21200000,26970000,2023,Australia
708.6,118000,166506,2023,Guam (US)
684.7,40392000,58993475,2023,Italy
634.1,25700000,40528396,2023,Canada
815.9,539196,660809,2023,Luxembourg
632.4,78743110,124516650,2023,Japan
939.6,5246942,5583911,2023,Finland
33.8,45494,1344976,2023,Cyprus
639.0,263672,412623,2023,Bahamas
726.6,285804,393349,2023,Iceland
846.7,1160256,1370286,2023,Estonia
978.9,35915484,36687353,2023,Poland
834.3,9095079,10900555,2023,Czech Republic
606.1,41400000,68300000,2023,United Kingdom
507.1,1449000,2857300,2023,Lithuania
482.6,45038,93316,2023,Antigua and Barbuda
722.0,60133124,83280000,2023,Germany
608.4,3301919,5426740,2023,Slovakia
703.4,7325474,10413982,2023,Greece
778.4,438567,563443,2023,Malta
803.8,7340000,9131761,2023,Austria
362.4,2000000,5519167,2023,Norway
509.2,2600000,5105525,2023,Costa Rica
617.2,11000000,17821419,2023,Netherlands
661.8,2554524,3859686,2023,Croatia
801.7,1700000,2120461,2023,Slovenia
551.8,3556512,6445481,2023,Bulgaria
475.4,2827703,5948136,2023,Denmark
472.4,4977163,10536632,2023,Sweden
801.7,1700000,2120461,2023,Slovenia
551.8,3556512,6445481,2023,Bulgaria
475.4,2827703,5948136,2023,Denmark
472.4,4977163,10536632,2023,Sweden
615.9,4500000,7305659,2023,Libya
524.5,5080748,9686463,2023,Hungary
492.9,9422452,19118479,2023,Romania
545.7,5370000,9840000,2023,Israel
389.6,110000,282336,2023,Barbados
419.7,788000,1877445,2023,Latvia
356.9,1094571,3067070,2023,Moldova
314.2,867765,2761785,2023,Albania
330.2,1667393,5049269,2023,Oman
387.4,1233783,3185073,2023,Bosnia and Herzegovina
300.1,549653,1831802,2023,North Macedonia
270.5,35100000,129739759,2023,Mexico
310.3,6100000,19658835,2023,Chile
312.0,933258,2990900,2023,Armenia
834.6,22700000,27200000,2024,Australia
179.5,1833874,10218536,2024,Azerbaijan
478.1,768299,1607049,2024,Bahrain
161.8,128087,791524,2024,Bhutan
704.7,320998,455500,2024,Brunei
23.9,413067,17280543,2024,Cambodia
649.1,26800000,41288599,2024,Canada
342.2,6727472,19658839,2024,Chile
165.6,1893024,11434005,2024,Dominican Republic
122.6,2224098,18135478,2024,Ecuador
97.7,10400000,106450000,2024,Egypt
10.8,1432635,132060000,2024,Ethiopia
418.9,4200000,10027000,2024,Israel
570.4,2814775,4934507,2024,Kuwait
173.9,1250000,7186009,2024,Kyrgyzstan
348.2,2705538,7769819,2024,Laos
615.9,4500000,7305659,2024,Libya
367.8,253182,688300,2024,Macao (China)
988.6,33680626,34068000,2024,Malaysia
261.9,139112,531000,2024,Maldives
275.0,35630958,129541000,2024,Mexico
389.1,1358000,3490000,2024,Mongolia
879.8,4712629,5356700,2024,New Zealand
49.9,11605207,232679478,2024,Nigeria
376.8,55060000,146100000,2024,Russia
27.6,394157,14260000,2024,Rwanda
43.5,2039,46843,2024,Saint Kitts and Nevis
166.7,1007094,6040000,2024,Singapore
507.7,26298000,51800000,2024,South Korea
997.2,23335950,23400000,2024,Taiwan
354.5,30261176,85372377,2024,Turkey
890.0,298900000,335893000,2024,United States
93.4,3450000,36929000,2024,Uzbekistan
