Country,Year,EV_market_share,total_vehicles_sold
Argentina,2018,0.0,803040.0
Argentina,2019,0.0,459592.0
Argentina,2020,0.0,303793.0
Argentina,2021,0.0,381777.0
Argentina,2022,0.0192,407532.0
Argentina,2023,0.0008,449438.0
Argentina,2024,0.001,390467.0
Argentina,2025,0.0035,571308.0
Australia,2018,0.3,1153111.0
Australia,2019,0.6,1062867.0
Australia,2020,0.78,916968.0
Australia,2021,2.4,1049831.0
Australia,2022,5.1,1081429.0
Australia,2023,8.1,1216780.0
Australia,2024,9.65,1237287.0
Australia,2025,13.1,1241037.0
Austria,2018,2.6,341598.0
Austria,2019,3.5,329363.0
Austria,2020,9.5,248740.0
Austria,2021,20.0,239803.0
Austria,2022,22.0,215050.0
Austria,2023,27.0,239150.0
Austria,2024,17.6,253789.0
Austria,2025,17.0,284978.0
Belgium,2018,2.5,549627.0
Belgium,2019,3.2,550009.0
Belgium,2020,10.7,431491.0
Belgium,2021,18.4,383123.0
Belgium,2022,26.5,366087.0
Belgium,2023,40.7,540306.0
Belgium,2024,52.3,568059.0
Belgium,2025,43.8,414771.0
Brazil,2018,0.002,2566433.0
Brazil,2019,0.004,2787850.0
Brazil,2020,0.01,2058437.0
Brazil,2021,0.018,2119851.0
Brazil,2022,1.0,2104461.0
Brazil,2023,2.4,2308689.0
Brazil,2024,3.4,2634904.0
Brazil,2025,5.0,2690000.0
California,2018,7.6,2000000.0
California,2019,7.8,1960000.0
California,2020,7.6,1640000.0
California,2021,12.2,1860000.0
California,2022,19.1,1670000.0
California,2023,24.8,1770000.0
California,2024,0.22,1750000.0
California,2025,29.1,1790000.0
Canada,2018,2.2,1984992.0
Canada,2019,3.0,1914357.0
Canada,2020,3.5,1537388.0
Canada,2021,6.6,1638398.0
Canada,2022,8.2,1510000.0
Canada,2023,10.8,1755741.0
Canada,2024,14.6,1860000.0
Canada,2025,10.4,1897058.0
Chile,2018,1.2,417038.0
Chile,2019,1.3,373277.0
Chile,2020,2.4,258835.0
Chile,2021,3.0,415581.0
Chile,2022,4.5,425856.0
Chile,2023,5.0,319568.0
Chile,2024,2.3,302309.0
Chile,2025,10.6,310784.0
China,2018,4.2,28080000.0
China,2019,4.9,25769000.0
China,2020,5.4,25311000.0
China,2021,15.0,26275000.0
China,2022,30.0,26864000.0
China,2023,37.0,30094000.0
China,2024,47.2,31440000.0
China,2025,54.0,34400000.0
Colombia,2018,0.0,256662.0
Colombia,2019,0.0035,263684.0
Colombia,2020,0.00208,188665.0
Colombia,2021,0.012,200914.0
Colombia,2022,2.0,262595.0
Colombia,2023,3.0,186826.0
Colombia,2024,4.6,200953.0
Colombia,2025,0.091,254215.0
Costa Rica,2020,3.0,
Costa Rica,2021,3.0,
Costa Rica,2022,7.3,
Costa Rica,2023,11.6,
Costa Rica,2024,15.0,
Costa Rica,2025,25.6,
Costa Rica (BEVs only),2018,0.0,39530.0
Costa Rica (BEVs only),2019,0.0,34515.0
Costa Rica (BEVs only),2020,3.0,23210.0
Costa Rica (BEVs only),2021,3.0,27140.0
Costa Rica (BEVs only),2022,7.3,40048.0
Costa Rica (BEVs only),2023,11.6,40690.0
Costa Rica (BEVs only),2024,15.0,75000.0
Costa Rica (BEVs only),2025,25.6,87750.0
Denmark,2018,2.0,218592.0
Denmark,2019,4.2,224208.0
Denmark,2020,16.4,198165.0
Denmark,2021,35.2,185328.0
Denmark,2022,38.6,148298.0
Denmark,2023,46.1,172763.0
Denmark,2024,51.5,173057.0
Denmark,2025,71.1,183039.0
Europe,2018,2.5,15625752.0
Europe,2019,3.6,15805752.0
Europe,2020,11.4,11961182.0
Europe,2021,19.0,11774885.0
Europe,2022,22.9,11286939.0
Europe,2023,23.4,12847481.0
Europe,2024,0.23,12963614.0
Europe,2025,26.8,13271270.0
Finland,2018,4.7,116743.0
Finland,2019,6.9,114169.0
Finland,2020,18.1,93103.0
Finland,2021,30.8,95811.0
Finland,2022,37.5,80061.0
Finland,2023,54.4,86071.0
Finland,2024,49.6,74065.0
Finland,2025,56.8,124340.0
France,2018,2.11,2177510.0
France,2019,2.8,2214279.0
France,2020,11.2,2052498.0
France,2021,18.3,2091630.0
France,2022,21.6,1877107.0
France,2023,26.0,2153937.0
France,2024,25.4,2155052.0
France,2025,26.7,1992659.0
Germany,2018,1.9,3435778.0
Germany,2019,3.0,3607258.0
Germany,2020,13.5,2917678.0
Germany,2021,26.0,2622132.0
Germany,2022,31.4,2651357.0
Germany,2023,24.6,2844609.0
Germany,2024,20.3,2817331.0
Germany,2025,30.0,2857591.0
Global average,2018,2.1,
Global average,2019,2.5,
Global average,2020,4.6,
Global average,2021,8.6,
Global average,2022,14.0,
Global average,2023,16.0,
Global average,2024,22.0,
Global average,2025,25.0,
Greece,2018,0.0025,103431.0
Greece,2019,0.0042,114109.0
Greece,2020,0.0264,80977.0
Greece,2021,0.0687,100838.0
Greece,2022,2.8,105280.0
Greece,2023,5.4,134490.0
Greece,2024,12.4,148701.0
Greece,2025,6.1,144199.0
Hong Kong,2018,0.0,39139.0
Hong Kong,2019,5.0,34116.0
Hong Kong,2020,14.0,37279.0
Hong Kong,2021,23.0,39309.0
Hong Kong,2022,60.0,36900.0
Hong Kong,2023,64.1,51715.0
Hong Kong,2024,90.8,52232.0
Hong Kong,2025,13.1,49139.0
Iceland,2018,17.2,17866.0
Iceland,2019,22.6,13137.0
Iceland,2020,45.0,9184.0
Iceland,2021,54.7,16108.0
Iceland,2022,56.1,20779.0
Iceland,2023,64.0,17542.0
Iceland,2024,31.0,10220.0
Iceland,2025,80.0,14547.0
India,2018,0.1,3380000.0
India,2019,0.1,2960000.0
India,2020,0.2,2430000.0
India,2021,0.5,3000000.0
India,2022,1.2,3860000.0
India,2023,2.1,4000000.0
India,2024,2.3,4350000.0
India,2025,4.45,4550000.0
Indonesia,2018,0.0,1151291.0
Indonesia,2019,0.002,1030126.0
Indonesia,2020,0.0002,578327.0
Indonesia,2021,0.0008,887202.0
Indonesia,2022,0.0099,1013582.0
Indonesia,2023,0.014,1005802.0
Indonesia,2024,0.0499,889680.0
Indonesia,2025,0.1293,833692.0
Ireland,2018,1.57,125671.0
Ireland,2019,4.1,145104.0
Ireland,2020,7.4,112122.0
Ireland,2021,15.7,136389.0
Ireland,2022,22.2,105483.0
Ireland,2023,27.1,121993.0
Ireland,2024,24.75,154846.0
Ireland,2025,34.0,160448.0
Israel,2018,0.0,267477.0
Israel,2019,0.1,253819.0
Israel,2020,0.6,214544.0
Israel,2021,3.8,306012.0
Israel,2022,10.0,268141.0
Israel,2023,18.0,268878.0
Israel,2024,24.5,271735.0
Israel,2025,15.5,293591.0
Italy,2018,0.26,1910025.0
Italy,2019,0.6,1916320.0
Italy,2020,4.3,1381496.0
Italy,2021,9.3,1457952.0
Italy,2022,8.8,1316702.0
Italy,2023,8.6,1566448.0
Italy,2024,7.5,1558704.0
Italy,2025,12.5,1530000.0
Japan,2018,1.0,5272067.0
Japan,2019,0.9,5195216.0
Japan,2020,0.6,4598615.0
Japan,2021,1.0,4448340.0
Japan,2022,3.0,4201321.0
Japan,2023,3.6,4779086.0
Japan,2024,1.8,4421494.0
Japan,2025,2.0,4565777.0
Kazakhstan,2018,0.0,58465.0
Kazakhstan,2019,0.0,75093.0
Kazakhstan,2020,0.0,92979.0
Kazakhstan,2021,0.0,119454.0
Kazakhstan,2022,0.01,123779.0
Kazakhstan,2023,0.02,198842.0
Kazakhstan,2024,0.02,205111.0
Kazakhstan,2025,0.05,234852.0
Latvia,2018,0.5,19325.0
Latvia,2019,1.0,19488.0
Latvia,2020,2.5,13720.0
Latvia,2021,5.0,14344.0
Latvia,2022,8.0,19180.0
Latvia,2023,10.0,21204.0
Latvia,2024,9.5,17128.0
Latvia,2025,7.1,25194.0
Malaysia,2018,0.0,598714.0
Malaysia,2019,0.0,604287.0
Malaysia,2020,0.0,529434.0
Malaysia,2021,0.0,508911.0
Malaysia,2022,0.00365,720658.0
Malaysia,2023,0.0127,799731.0
Malaysia,2024,0.0254,816747.0
Malaysia,2025,0.052,820752.0
Mexico,2018,0.0,1427086.0
Mexico,2019,0.0,1317931.0
Mexico,2020,0.0,950063.0
Mexico,2021,0.001,1014735.0
Mexico,2022,0.005,1094728.0
Mexico,2023,0.052,1363714.0
Mexico,2024,0.082,1504322.0
Mexico,2025,0.06,1524638.0
Netherlands,2018,6.2,446589.0
Netherlands,2019,14.9,446114.0
Netherlands,2020,24.6,357414.0
Netherlands,2021,29.8,322831.0
Netherlands,2022,34.9,311429.0
Netherlands,2023,44.0,369244.0
Netherlands,2024,48.4,381227.0
Netherlands,2025,56.5,391000.0
New Zealand,2018,1.4,169787.0
New Zealand,2019,2.7,154406.0
New Zealand,2020,2.8,119609.0
New Zealand,2021,8.2,165287.0
New Zealand,2022,19.7,116451.0
New Zealand,2023,27.2,149260.0
New Zealand,2024,11.2,87435.0
New Zealand,2025,10.7,137901.0
Norway,2018,49.1,147929.0
Norway,2019,55.9,142381.0
Norway,2020,74.7,141405.0
Norway,2021,86.2,176276.0
Norway,2022,87.6,200840.0
Norway,2023,90.4,126948.0
Norway,2024,91.6,128691.0
Norway,2025,97.4,179549.0
Pakistan,2018,0.0,264442.0
Pakistan,2019,0.0,186588.0
Pakistan,2020,0.0,127939.0
Pakistan,2021,0.0,242886.0
Pakistan,2022,0.0,225050.0
Pakistan,2023,0.0,81587.0
Pakistan,2024,0.0,123982.0
Pakistan,2025,0.0,173781.0
Peru,2018,0.0,165802.0
Peru,2019,0.0,151997.0
Peru,2020,0.0035,125090.0
Peru,2021,0.0,157001.0
Peru,2022,0.015,159270.0
Peru,2023,0.002,165146.0
Peru,2024,0.039,169309.0
Peru,2025,0.047,186981.0
Philippines,2018,0.0196,357410.0
Philippines,2019,0.0005,369941.0
Philippines,2020,0.0015,223793.0
Philippines,2021,0.003,268488.0
Philippines,2022,0.027,352596.0
Philippines,2023,0.0247,429807.0
Philippines,2024,0.037,467252.0
Philippines,2025,0.07,491395.0
Portugal,2018,3.6,227441.0
Portugal,2019,5.7,231492.0
Portugal,2020,13.5,145417.0
