Region,%_ev_sales_global,Annual_sales_23,Market_share_23,Market_share_25,PEV_stock_23,Share_of_cars_in_use_23
China,0.5865998550724638,8095078,0.37,0.54,21800000,0.076
Europe,0.2186144927536231,3016880,0.24,0.268,11200000,0.038
United States,0.1007246376811594,1390000,0.095,0.135,4800000,0.021
Germany,0.0507205072463768,699943,0.246,0.3,2500000,0.054
California,0.0319286956521739,440616,0.248,0.291,1775915,0.0385
United Kingdom,0.0326086956521739,450000,0.24,0.339,1580000,0.05
France,0.0340579710144927,470000,0.25,0.267,1570000,0.0409999999999999
Norway,0.0079710144927536,110000,0.93,0.974,900000,0.29
Netherlands,0.0152173913043478,210000,0.35,0.565,700000,0.083
Sweden,0.012391304347826,171000,0.6,0.632,560000,0.11
South Korea,0.0098768115942028,136300,0.079,0.1,553000,0.024
Canada,0.012391304347826,171000,0.13,0.104,550000,0.023
Japan,0.0101449275362318,140000,0.036,0.02,540000,0.008
Global total,1.0,13800000,0.18,0.25,40000000,0.032
