Country,Trade balance (thousands USD),Trade balance 2024,Trade_balance_2024,Value exported 2023,Value exported 2024,Value imported 2024,Value_exported_2024,Value_imported_2024
World,"−25,170,492",-25170492,-25170492,,1858996360,1884166852,1858996360,1884166852
Germany,138975649,138975649,138975649,296592617.0,280475009,141499360,280475009,141499360
China,154436046,154436046,154436046,188468006.0,224063343,69627297,224063343,69627297
Mexico,95092977,95092977,95092977,155959504.0,160602816,65509839,160602816,65509839
Japan,128000205,128000205,128000205,164627135.0,151370804,23370599,151370804,23370599
United States,"−247,901,451",-247901451,-247901451,147871528.0,144023208,391924659,144023208,391924659
South Korea,74896737,74896737,74896737,84769589.0,95360918,20464181,95360918,20464181
Spain,12445285,12445285,12445285,68416179.0,59962549,47517264,59962549,47517264
Belgium,"−2,693,482",-2693482,-2693482,44378211.0,59949739,62643221,59949739,62643221
Canada,"−32,397,923",-32397923,-32397923,63597528.0,58025722,90423645,58025722,90423645
France,"−24,731,315",-24731315,-24731315,64022037.0,55573637,80304952,55573637,80304952
Czech Republic,30745814,30745814,30745814,53244400.0,54050740,23304926,54050740,23304926
United Kingdom,"−40,586,981",-40586981,-40586981,49303238.0,48303019,88890000,48303019,88890000
Italy,"−12,556,163",-12556163,-12556163,54378151.0,47008486,59564649,47008486,59564649
Poland,1128645,1128645,1128645,38421669.0,41164358,40035713,41164358,40035713
Slovakia,18783645,18783645,18783645,47221080.0,38549721,19766076,38549721,19766076
Thailand,22673000,22673000,22673000,39904034.0,33741459,11068459,33741459,11068459
Turkey,178801,178801,178801,31642295.0,31945201,31766400,31945201,31766400
Hungary,12847705,12847705,12847705,26588733.0,28342014,15494309,28342014,15494309
Sweden,6591740,6591740,6591740,30497020.0,26452888,19861148,26452888,19861148
Netherlands,"−10,174,659",-10174659,-10174659,31445177.0,24560854,34735513,24560854,34735513
India,13513241,13513241,13513241,22097313.0,22135958,8622717,22135958,8622717
Austria,"−2,388,386",-2388386,-2388386,22951241.0,20296909,22685295,20296909,22685295
Romania,3376069,3376069,3376069,19049515.0,17319727,13943658,17319727,13943658
