Country,Year,vehicles_per_1000_people,Road motor vehicles,Population
Afghanistan,2024,55.0,2342543,42647492
Albania,2023,314.2,867765,2761785
Albania,2024,328.0,867765,2811655
Algeria,2020,176.0,7731664,44042091
Andorra,2023,1214.0,98183,80856
Antigua and Barbuda,2020,598.0,54891,91846
Antigua and Barbuda,2023,482.6,45038,93316
Armenia,2023,312.0,933258,2990900
Armenia,2024,303.0,900692,2973841
Australia,2021,776.0,20142942,25956418
Australia,2023,786.1,21200000,26970000
Australia,2024,834.6,22700000,27200000
Austria,2023,803.8,7340000,9131761
Austria,2024,569.0,5185006,9104772
Azerbaijan,2023,169.0,1738940,10318207
Azerbaijan,2024,179.5,1833874,10218536
Bahamas,2022,650.0,260000,397539
Bahamas,2023,639.0,263672,412623
Bahrain,2023,476.0,747350,1569666
Bahrain,2024,478.1,768299,1607049
Bangladesh,2024,34.0,5982765,173562364
Barbados,2022,425.0,120000,282318
Barbados,2023,389.6,110000,282336
Belgium,2024,513.0,6977664,11641820
Bhutan,2022,162.0,126501,780915
Bhutan,2024,161.8,128087,791524
Bosnia and Herzegovina,2023,387.4,1233783,3185073
Bosnia and Herzegovina,2024,321.0,978229,3473003
Brunei,2022,805.0,475000,455370
Brunei,2023,699.0,320807,458949
Brunei,2024,704.7,320998,455500
Bulgaria,2023,551.8,3556512,6445481
Bulgaria,2023,551.8,3556512,6445481
Bulgaria,2024,484.0,3006215,6447710
Cambodia,2023,21.0,370000,17423881
Cambodia,2024,23.9,413067,17280543
Canada,2022,677.0,26302526,38831259
Canada,2023,634.1,25700000,40528396
Canada,2024,649.1,26800000,41288599
Chile,2022,312.0,6100000,19553037
Chile,2023,310.3,6100000,19658835
Chile,2024,342.2,6727472,19658839
China,2024,251.0,353000000,1408280000
Costa Rica,2021,514.0,2600000,5059988
Costa Rica,2023,509.2,2600000,5105525
Croatia,2023,661.8,2554524,3859686
Croatia,2024,513.0,2070123,3907027
Cyprus,2023,33.8,45494,1344976
Cyprus,2024,661.0,724925,1331370
Czech Republic,2022,608.0,7082522,10673213
Czech Republic,2023,834.3,9095079,10900555
Denmark,2023,475.4,2827703,5948136
Denmark,2023,475.4,2827703,5948136
Denmark,2024,478.0,3222575,5948137
Djibouti,2022,35.0,40000,1137096
Dominica,2020,271.0,18311,67573
Dominican Republic,2023,513.0,5810888,11331266
Dominican Republic,2024,165.6,1893024,11434005
Ecuador,2021,143.0,2535853,17682455
Ecuador,2024,122.6,2224098,18135478
Egypt,2023,87.0,9950000,114535772
Egypt,2024,97.7,10400000,106450000
Estonia,2023,846.7,1160256,1370286
Estonia,2024,635.0,998852,1350092
Ethiopia,2020,10.0,1200110,118917672
Ethiopia,2024,10.8,1432635,132060000
Faroe Islands (Denmark),2023,522.0,28562,54714
Fiji,2020,142.0,130000,914963
Finland,2023,939.6,5246942,5583911
Finland,2024,666.0,4221852,5617311
France,2024,579.0,44444965,66277409
Gambia,2021,78.0,200000,2576010
Georgia,2024,414.0,1680400,3807492
Germany,2023,722.0,60133124,83280000
Germany,2024,590.0,52714433,84086227
Greece,2023,703.4,7325474,10413982
Greece,2024,579.0,5777241,10412480
Greenland (Denmark),2023,126.0,7054,55923
Guam (US),2019,775.0,125455,161808
Guam (US),2023,708.6,118000,166506
Guernsey (UK),2022,1389.0,88532,63726
Guernsey (UK),2023,1010.0,65400,64781
Hong Kong (China),2022,124.0,925171,7465915
Hungary,2023,524.5,5080748,9686463
Hungary,2024,447.0,4763466,9684306
Iceland,2023,726.6,285804,393349
Iceland,2024,639.0,306563,393396
India,2024,38.0,50000000,1328024498
Indonesia,2024,82.0,23050000,281190067
Iran,2020,182.0,15963000,87723443
Iraq,2020,112.0,4715000,42116605
Ireland,2024,466.0,2737924,5110016
Israel,2022,439.0,4000000,9103151
Israel,2023,545.7,5370000,9840000
Israel,2024,418.9,4200000,10027000
Italy,2023,684.7,40392000,58993475
Italy,2024,701.0,44888074,59619115
Jamaica,2022,203.0,575041,2839144
Japan,2023,632.4,78743110,124516650
Japan,2024,670.0,82876295,123753041
Jersey (UK),2023,1234.0,127911,103675
Jordan,2024,173.0,2000000,11552876
Kazakhstan,2023,250.0,5085400,20330104
Kosovo,2024,232.0,460105,1700031
Kuwait,2023,521.0,2522933,4838782
Kuwait,2024,570.4,2814775,4934507
Kyrgyzstan,2019,200.0,1300000,6494035
Kyrgyzstan,2024,173.9,1250000,7186009
Laos,2022,412.0,3116550,7559008
Laos,2024,348.2,2705538,7769819
Latvia,2023,419.7,788000,1877445
Latvia,2024,424.0,871153,1881063
Libya,2020,463.0,3260000,7045399
Libya,2023,615.9,4500000,7305659
Libya,2024,615.9,4500000,7305659
Liechtenstein,2024,767.0,31340,39870
