Country or region,PEV stock/ cumulative sales  (2023)[i],Annual sales  (2023),Market share  (2023),% of cars in use (2023)[ii]
China[iii],"21,800,000[75]","8,095,078[76]",37.0%[76],7.6%[75]
Europe[iv],"11,200,000[75]","3,016,880[77]",24.0%[77],3.8%[75]
United States[iii],"4,800,000[75]","1,390,000[75]",9.5%[75],2.1%[75]
Germany[iii],"2,500,000[75]","699,943[78]",24.6%[78],5.4%[75]
California[iii],"1,775,915[79]","440,616[79]",24.8%[79],3.85% (2021)[80]
United Kingdom,"1,580,000[75]","450,000[75]",24.0%[75],5.0%[75]
France,"1,570,000[75]","470,000[75]",25.0%[75],4.1%[75]
Norway[v],"900,000[75]","110,000[75]",93.0%[75],29.0%[75]
Netherlands[vi],"700,000[75]","210,000[75]",35.0%[75],8.3%[75]
Sweden,"560,000[75]","171,000[75]",60.0%[75],11.0%[75]
South Korea[iii],"553,000[75]","136,300[75]",7.9%[75],2.4%[75]
Canada[iii],"550,000[75]","171,000[75]",13.0%[75],2.3%[75]
Japan[iii][vii],"540,000[75]","140,000[75]",3.6%[75],0.8%[75]
Global total[iii],"40,000,000[75]","13,800,000[75]",18.0%[75],3.2%[75]
