Country,2025,2024,2023,2022,2021,2020,2019 [81],2018,2017,2016 [20][82],2015 [83][84],2014 [85],2013 [86]
Norway[87],97.4%,91.6%,90.4%,87.6%,86.2%,74.7%,55.9%,49.1%,39.2%,29.1%,22.4%,13.8%,6.1%
Sweden[88],63.2%,58.4%,59.8%,56.1%,43.3%,32.2%,11.4%,8.2%,5.2%,3.5%,2.62%,1.53%,0.71%
Belgium[89],43.8%,52.3%,40.7%,26.5%,18.4%,10.7%,3.2%,2.5%,2.7%,1.8%,0.75%,2%,—
Denmark[90],71.1%,51.5%,46.1%,38.6%,35.2%,16.4%,4.2%,2.0%,0.6%,0.6%,2.29%,0.88%,0.29%
Finland[91],56.8%,49.6%,54.4%,37.5%,30.8%,18.1%,6.9%,4.7%,2.57%,1.2%,0.39%,—,—
Netherlands[92],56.5%,48.4%,44%,34.9%,29.8%,24.6%,14.9%,6.2%,2.2%,6.7%,9.9%,3.87%,5.55%
China[93],54.0%,47.2%,37.0%,30.0%,15.0%,5.4%,4.9%,4.2%,2.1%,1.31%,0.84%,0.23%,0.08%
Portugal[94],38.4%,33.4%,31.8%,21.7%,20.0%,13.5%,5.7%,3.6%,1.9%,0.95%,0.73%,—,0.2%
Singapore[95],45.0%,33.0%,18.0%,11.7%,1.0%,1.0%,1.0%,1.0%,1.0%,—,—,—,—
Iceland[96],80%,31.0%,64.0%,56.1%,54.7%,45.0%,22.6%,17.2%,11.7%,5.6%,3.6%,2.1%,1.3%
Switzerland[97],20.5%,28.0%,30.1%,25.9%,22.5%,14.3%,5.5%,3.2%,2.55%,1.8%,1.98%,0.75%,0.44%
United Kingdom[98],33.9%,28.2%,23.9%,22.9%,18.6%,10.7%,2.9%,2.53%,1.86%,1.37%,1.07%,0.59%,0.16%
Vietnam[99],42%,28.0%,5.6%,1.0%,0.3%,0.1%,—,—,—,—,—,—,—
Ireland[100],34.0%,24.75%,27.1%,22.2%,15.7%,7.4%,4.1%,1.57%,0.72%,0.48%,0.46%,0.27%,—
France[ii][101],26.7%,25.4%,26%,21.6%,18.3%,11.2%,2.8%,2.11%,1.98%,1.4%,1.19%,0.70%,0.83%
Romania[102][103][104],31.8%,25.1%,24.4%,21.7%,15.5%,7.12%,4.18%,2.89%,2.11%,1.03%,0.50%,0.28%,0.34%
Israel[105][106],15.5%,24.5%,18%,10%,3.8%,0.6%,0.1%,—,—,—,—,—,—
Germany[107],30.0%,20.3%,24.6%,31.4%,26.0%,13.5%,3.0%,1.9%,1.58%,1.1%,0.73%,0.43%,0.25%
Kazakhstan[108],3.5%,20.0%,18.0%,14.0%,9.0%,—,—,—,—,—,—,—,—
Austria[109],17%,17.6%,27.0%,22.0%,20.0%,9.5%,3.5%,2.6%,2.06%,1.6%,0.90%,—,—
Thailand[110][111],40.2%,15.4%,12.0%,—,—,—,—,—,—,—,—,—,—
Costa Rica[112] (BEVs only),25.6%,15%,11.6%,7.3%,3.0%,3.0%,—,—,—,—,—,—,—
Canada[113],10.4%,14.6%,10.8%,8.2%,6.6%,3.5%,3.0%,2.2%,0.92%,0.58%,0.35%,0.28%,0.18%
Greece[114][115][116],6.1%,12.4%,5.4%,2.8%,—,—,—,—,—,—,—,—,—
Spain[117],20.1%,12.4%,11.9%,9.6%,7.8%,4.8%,1.4%,0.9%,0.6%,0.32%,—,—,—
New Zealand[75][118],10.7%,11.2%,27.2%,19.7%,8.2%,2.8%,2.7%,1.4%,1.0%,0.6%,0.2%,0.1%,—
Turkey[119][120],17.7%,10.1%,6.8%,1.2%,0.1%,—,—,—,—,—,—,—,—
United States[121],13.5%,9.9%,9.4%,6.8%,4.0%,2.2%,1.9%,2.1%,1.1%,0.90%,0.66%,0.72%,0.60%
Australia[122],13.1%,9.65%,8.1%,5.1%,2.4%,0.78%,0.6%,0.3%,0.19%,0.12%,0.15%,0.12%,0.026%
Latvia[123],7.1%,9.5%,10%,8.0%,5.0%,2.5%,1.0%,0.5%,0.3%,0.2%,0.1%,—,—
Uruguay[124],20.2%,8.9%,3.1%,1.9%,1.1%,0.3%,0.4%,—,—,—,—,—,—
Italy[125],12.5%,7.5%,8.6%,8.8%,9.3%,4.3%,0.6%,0.26%,0.1%,0.08%,0.09%,0.08%,0.07%
Uzbekistan[126],11%,7.1%,—,—,—,—,—,—,—,—,—,—,—
South Korea[127],11%,6.1%,9.3%,—,—,—,—,—,—,—,—,—,
Colombia[112][128],—,4.6%,3.0%,2.0%,—,—,—,—,—,—,—,—,—
Brazil[112][129],5%,3.4%,2.4%,1.0%,—,—,—,—,—,—,—,—,—
Chile[130],10.6%,2.3%,5.0%,4.5%,3.0%,2.4%,1.3%,1.2%,—,—,—,—,—
Japan[131],2%,1.8%,3.6%,3.0%,1.0%,0.6%,0.9%,1.0%,1.1%,0.59%,0.68%,1.06%,0.91%
Global average[132],25.0%,22.0%,16.0%,14.0%,8.6%,4.6%,2.5%,2.1%,1.3%,0.86%,0.7%,0.4%,0.3%
,,,,,,,,,,,,,
California[133],29.1%,—,24.8%,19.1%,12.2%,7.6%,7.8%,7.6%,4.9%,3.6%,3.1%,3.2%,2.5%
Europe[134][iii],26.8%,—,23.4%,22.9%,19.0%,11.4%,3.6%,2.5%,1.74%,1.3%,1.41%,0.66%,0.49%
Hong Kong[135],13.1%,90.8%,64.1%,60.0%,23.0%,14.0%,5.0%,—,—,5.0%,4.84%,—,0.39%
India,—,7.7%,6.38%,5.59%,8.75%,0.7%,1%,3%,0.37%,0.10%,0.84%,0.01%,—
