Region,"Vehicles per 1,000 people",Road motor vehicles,Population,Year,Ref
San Marino,1606.0,53940,33581,2024,[2]
Guernsey (UK),1389.0,88532,63726,2022,[3]
Jersey (UK),1234.0,127911,103675,2023,[4]
Andorra,1214.0,98183,80856,2023,[5]
Taiwan,999.0,23353315,23374742,2025,[6][7]
New Zealand,817.0,470000,5334200,2023,[8]
Brunei,805.0,475000,455370,2022,[9]
United States,779.0,259238294,333287557,2023,[10]
Australia,776.0,20142942,25956418,2021,[11]
Guam (US),775.0,125455,161808,2019,[12]
Liechtenstein,767.0,31340,39870,2024,[13]
Italy,701.0,44888074,59619115,2024,[14]
Malaysia,678.0,23822322,35126298,2023,[15]
Canada,677.0,26302526,38831259,2022,[16]
Luxembourg,670.0,550580,673036,2024,[17]
Japan,670.0,82876295,123753041,2024,[18]
Finland,666.0,4221852,5617311,2024,[19]
Cyprus,661.0,724925,1331370,2024,[20]
Bahamas,650.0,260000,397539,2022,[21]
Iceland,639.0,306563,393396,2024,[22]
Estonia,635.0,998852,1350092,2024,[23]
Poland,629.0,25757062,38385739,2024,[24]
Czech Republic,608.0,7082522,10673213,2022,[25]
United Kingdom,603.0,41700000,69138192,2024,[26]
Lithuania,598.0,1811748,2816920,2024,[27]
Antigua and Barbuda,598.0,54891,91846,2020,[28]
Germany,590.0,52714433,84086227,2024,[29]
Slovakia,502.0,3286249,5450626,2024,[30]
Trinidad and Tobago,582.0,831803,1429189,2015,[31][32]
France,579.0,44444965,66277409,2024,[33]
Greece,579.0,5777241,10412480,2024,[34]
Malta,576.0,438567,532956,2024,[35]
Austria,569.0,5185006,9104772,2024,[36]
Portugal,567.0,7198871,10417073,2024,[37]
Spain,544.0,30724166,47828383,2024,[38]
Saint Kitts and Nevis,543.0,25374,46758,2023,[39]
Switzerland,542.0,5301789,8792182,2024,[40]
Faroe Islands (Denmark),522.0,28562,54714,2023,[41]
Kuwait,521.0,2522933,4838782,2023,[42]
Norway,517.0,3469692,5519167,2024,[43]
Costa Rica,514.0,2600000,5059988,2021,[44]
Belgium,513.0,6977664,11641820,2024,[45]
Netherlands,513.0,10062194,17904421,2024,[46]
Croatia,513.0,2070123,3907027,2024,[47]
Dominican Republic,513.0,5810888,11331266,2023,[48]
Qatar,512.0,1330487,2599372,2016,[31]
Slovenia,587.0,1228051,2115228,2024,[49]
South Korea,501.0,25949201,51748739,2023,[50]
Argentina,493.0,21633587,43900314,2016,[31]
Bulgaria,484.0,3006215,6447710,2024,[51]
Denmark,478.0,3222575,5948137,2024,[52]
Bahrain,476.0,747350,1569666,2023,[53]
Sweden,470.0,5682251,10487338,2024,[54]
Ireland,466.0,2737924,5110016,2024,[55]
Syria,466.0,9810000,21049429,2020,[56]
Libya,463.0,3260000,7045399,2020,[56]
Brazil,462.0,93867016,203218114,2016,[31]
Hungary,447.0,4763466,9684306,2024,[57]
Romania,444.0,9148003,19166773,2024,[58]
Israel,439.0,4000000,9103151,2022,[59]
Barbados,425.0,120000,282318,2022,[60]
Latvia,424.0,871153,1881063,2024,[61]
Nauru,424.0,5000,11801,2022,[62]
Montenegro,417.0,242599,616695,2024,[63]
Georgia,414.0,1680400,3807492,2024,[64]
Laos,412.0,3116550,7559008,2022,[65]
Suriname,394.0,241391,612317,2020,[66]
Serbia,377.0,2389105,6641197,2024,[67]
United Arab Emirates,376.0,3391125,9030873,2016,[31]
Sri Lanka,366.0,8352213,22834965,2022,[68]
Russia,364.0,53000000,145440501,2023,[69]
Turkey,354.0,30261176,85372377,2023,[70]
Moldova,354.0,982349,3039985,2024,[71]
Macao (China),353.0,251867,713912,2023,[72]
Mongolia,347.0,1192520,3431933,2023,[73]
Albania,328.0,867765,2811655,2024,[74]
Oman,323.0,1704873,5281538,2024,[75]
Bosnia and Herzegovina,321.0,978229,3473003,2024,[76]
Panama,320.0,1288573,4029087,2016,[31]
North Macedonia,318.0,483482,1837114,2024,[77]
Mexico,312.0,40524791,129739759,2025,[78]
Chile,312.0,6100000,19553037,2022,[79]
Armenia,303.0,900692,2973841,2024,[80]
Lebanon,295.0,1866407,6323060,2016,[31]
Botswana,292.0,653274,2234776,2016,[31]
Colombia,280.0,13477996,48131078,2017,[31]
Dominica,271.0,18311,67573,2020,[81]
China,251.0,353000000,1408280000,2024,[82]
Kazakhstan,250.0,5085400,20330104,2023,[83]
Maldives,250.0,131000,524107,2022,[84]
Liberia,248.0,1085075,4373044,2012,[31]
Ukraine,237.0,10500000,44298640,2021,[85]
Grenada,237.0,27266,115130,2016,[31]
Kosovo,232.0,460105,1700031,2024,[86]
Saudi Arabia,224.0,6895799,30717809,2016,[31]
Seychelles,210.0,23076,109821,2016,[31]
South Africa,208.0,13304703,64007187,2024,[87]
Saint Lucia,203.0,35681,175646,2016,[31]
Jamaica,203.0,575041,2839144,2022,[88]
Kyrgyzstan,200.0,1300000,6494035,2019,[89]
Guatemala,200.0,3250194,16268760,2016,[31]
Belize,189.0,56094,296100,2007,[31]
Iran,182.0,15963000,87723443,2020,[56]
Peru,182.0,5604789,30866494,2016,[31]
Honduras,180.0,1694504,9412380,2016,[31]
Philippines,180.0,20465515,113964339,2024,[90]
Algeria,176.0,7731664,44042091,2020,[91]
Tunisia,175.0,2015601,11528674,2016,[31]
Jordan,173.0,2000000,11552876,2024,[92]
Singapore,172.0,996732,5789090,2023,[93]
Guyana,171.0,128000,749257,2010,[94]
Azerbaijan,169.0,1738940,10318207,2023,[95]
São Tomé and Príncipe,165.0,34050,206971,2017,[31]
El Salvador,163.0,1008080,6200800,2016,[31]
Bhutan,162.0,126501,780915,2022,[96]
Tonga,158.0,16717,105567,2018,[97]
Bolivia,153.0,1711005,11180020,2016,[31]
Venezuela,149.0,4235000,28444078,2020,[56]
Namibia,148.0,418292,2506853,2017,[31]
Ecuador,143.0,2535853,17682455,2021,[98]
Fiji,142.0,130000,914963,2020,[99]
Myanmar,132.0,7138410,54133798,2022,[65]
Cape Verde,127.0,64955,512554,2016,[31]
Greenland (Denmark),126.0,7054,55923,2023,[41]
Samoa,124.0,25235,203499,2016,[31]
Hong Kong (China),124.0,925171,7465915,2022,[100]
Pakistan,121.0,30000000,247504496,2023,[101]
Morocco,113.0,4120000,36584208,2020,[56]
Burkina Faso,112.0,2106292,18777487,2015,[31]
Iraq,112.0,4715000,42116605,2020,[56]
Micronesia,99.0,11014,110917,2020,[102]
Zimbabwe,91.0,1467955,16069056,2022,[103]
Uzbekistan,87.0,3051734,34938956,2022,[104]
Egypt,87.0,9950000,114535772,2023,[105]
Nepal,84.0,2339169,27823629,2015,[31]
Indonesia,82.0,23050000,281190067,2024,[106]
Gambia,78.0,200000,2576010,2021,[107]
Chad,74.0,1124000,15114655,2016,[31]
Ghana,70.0,2066943,29356742,2016,[31]
Kenya,62.0,2979910,48139687,2016,[31]
Nigeria,59.0,13500000,218529287,2021,[108]
Palestine,59.0,268365,4521565,2015,[31]
Cuba,56.0,633369,11265612,2016,[31]
Afghanistan,55.0,2342543,42647492,2024,[109]
Tajikistan,50.0,439972,8865631,2016,[31]
Comoros,47.0,34898,741741,2016,[31]
Zambia,45.0,853909,19059395,2020,[110]
Vietnam,43.0,4180480,98079191,2020,[65]
Uganda,41.0,1594962,38799152,2016,[31]
Sierra Leone,41.0,300000,7379299,2017,[111]
Tanzania,40.0,2163623,53824013,2016,[31]
Benin,40.0,469761,11697842,2016,[31]
India,38.0,50000000,1328024498,2024,[112]
Djibouti,35.0,40000,1137096,2022,[113]
Ivory Coast,35.0,905537,25989405,2016,[31]
Bangladesh,34.0,5982765,173562364,2024,[114]
Guinea-Bissau,34.0,62239,1831894,2016,[31]
Cameroon,32.0,758145,23454162,2016,[31]
Senegal,32.0,468051,14593331,2015,[31]
Kiribati,31.0,3706,120275,2017,[31]
Sudan,30.0,1252740,41259892,2016,[31]
Mozambique,26.0,698864,27337105,2016,[31]
Eritrea,23.0,72405,3124698,2016,[31]
Guinea,22.0,259731,12073030,2016,[31]
Cambodia,21.0,370000,17423881,2023,[65]
Niger,21.0,436420,20685754,2016,[31]
Solomon Islands,21.0,11000,532968,2010,[115]
Rwanda,20.0,264524,13065837,2020,[116]
Mali,19.0,344345,18593022,2015,[31]
Papua New Guinea,11.0,100993,8961718,2016,[31]
Ethiopia,10.0,1200110,118917672,2020,[117]
Burundi,9.7,111236,11506762,2017,[31]
Madagascar,9.3,236979,25426703,2015,[31]
Togo,8.2,64118,7858289,2016,[31]
Central African Republic,8.1,37475,4623182,2014,[31]
Somalia,4.5,59457,13339491,2014,[31]
North Korea,1.1,30000,26498823,2024,[118]
