vehicles_per_1000_people,Road motor vehicles,Population,Year,Country
1606.0,53940,33581,2024,San Marino
1389.0,88532,63726,2022,Guernsey (UK)
1234.0,127911,103675,2023,Jersey (UK)
1214.0,98183,80856,2023,Andorra
999.0,23353315,23374742,2025,Taiwan
817.0,470000,5334200,2023,New Zealand
805.0,475000,455370,2022,Brunei
779.0,259238294,333287557,2023,United States
776.0,20142942,25956418,2021,Australia
775.0,125455,161808,2019,Guam (US)
767.0,31340,39870,2024,Liechtenstein
701.0,44888074,59619115,2024,Italy
678.0,23822322,35126298,2023,Malaysia
677.0,26302526,38831259,2022,Canada
670.0,550580,673036,2024,Luxembourg
670.0,82876295,123753041,2024,Japan
666.0,4221852,5617311,2024,Finland
661.0,724925,1331370,2024,Cyprus
650.0,260000,397539,2022,Bahamas
639.0,306563,393396,2024,Iceland
635.0,998852,1350092,2024,Estonia
629.0,25757062,38385739,2024,Poland
608.0,7082522,10673213,2022,Czech Republic
603.0,41700000,69138192,2024,United Kingdom
598.0,1811748,2816920,2024,Lithuania
598.0,54891,91846,2020,Antigua and Barbuda
590.0,52714433,84086227,2024,Germany
502.0,3286249,5450626,2024,Slovakia
579.0,44444965,66277409,2024,France
579.0,5777241,10412480,2024,Greece
576.0,438567,532956,2024,Malta
569.0,5185006,9104772,2024,Austria
567.0,7198871,10417073,2024,Portugal
544.0,30724166,47828383,2024,Spain
543.0,25374,46758,2023,Saint Kitts and Nevis
542.0,5301789,8792182,2024,Switzerland
521.0,2522933,4838782,2023,Kuwait
517.0,3469692,5519167,2024,Norway
514.0,2600000,5059988,2021,Costa Rica
513.0,6977664,11641820,2024,Belgium
513.0,10062194,17904421,2024,Netherlands
513.0,2070123,3907027,2024,Croatia
513.0,5810888,11331266,2023,Dominican Republic
587.0,1228051,2115228,2024,Slovenia
501.0,25949201,51748739,2023,South Korea
484.0,3006215,6447710,2024,Bulgaria
478.0,3222575,5948137,2024,Denmark
476.0,747350,1569666,2023,Bahrain
470.0,5682251,10487338,2024,Sweden
466.0,2737924,5110016,2024,Ireland
466.0,9810000,21049429,2020,Syria
463.0,3260000,7045399,2020,Libya
447.0,4763466,9684306,2024,Hungary
444.0,9148003,19166773,2024,Romania
439.0,4000000,9103151,2022,Israel
425.0,120000,282318,2022,Barbados
424.0,871153,1881063,2024,Latvia
424.0,5000,11801,2022,Nauru
417.0,242599,616695,2024,Montenegro
414.0,1680400,3807492,2024,Georgia
412.0,3116550,7559008,2022,Laos
394.0,241391,612317,2020,Suriname
377.0,2389105,6641197,2024,Serbia
366.0,8352213,22834965,2022,Sri Lanka
364.0,53000000,145440501,2023,Russia
354.0,30261176,85372377,2023,Turkey
354.0,982349,3039985,2024,Moldova
353.0,251867,713912,2023,Macao (China)
347.0,1192520,3431933,2023,Mongolia
328.0,867765,2811655,2024,Albania
323.0,1704873,5281538,2024,Oman
321.0,978229,3473003,2024,Bosnia and Herzegovina
318.0,483482,1837114,2024,North Macedonia
312.0,40524791,129739759,2025,Mexico
312.0,6100000,19553037,2022,Chile
303.0,900692,2973841,2024,Armenia
271.0,18311,67573,2020,Dominica
251.0,353000000,1408280000,2024,China
250.0,5085400,20330104,2023,Kazakhstan
250.0,131000,524107,2022,Maldives
237.0,10500000,44298640,2021,Ukraine
232.0,460105,1700031,2024,Kosovo
208.0,13304703,64007187,2024,South Africa
203.0,575041,2839144,2022,Jamaica
200.0,1300000,6494035,2019,Kyrgyzstan
182.0,15963000,87723443,2020,Iran
180.0,20465515,113964339,2024,Philippines
176.0,7731664,44042091,2020,Algeria
173.0,2000000,11552876,2024,Jordan
172.0,996732,5789090,2023,Singapore
169.0,1738940,10318207,2023,Azerbaijan
162.0,126501,780915,2022,Bhutan
158.0,16717,105567,2018,Tonga
149.0,4235000,28444078,2020,Venezuela
143.0,2535853,17682455,2021,Ecuador
142.0,130000,914963,2020,Fiji
132.0,7138410,54133798,2022,Myanmar
124.0,925171,7465915,2022,Hong Kong (China)
121.0,30000000,247504496,2023,Pakistan
113.0,4120000,36584208,2020,Morocco
112.0,4715000,42116605,2020,Iraq
99.0,11014,110917,2020,Micronesia
91.0,1467955,16069056,2022,Zimbabwe
87.0,3051734,34938956,2022,Uzbekistan
87.0,9950000,114535772,2023,Egypt
82.0,23050000,281190067,2024,Indonesia
78.0,200000,2576010,2021,Gambia
59.0,13500000,218529287,2021,Nigeria
55.0,2342543,42647492,2024,Afghanistan
45.0,853909,19059395,2020,Zambia
43.0,4180480,98079191,2020,Vietnam
38.0,50000000,1328024498,2024,India
35.0,40000,1137096,2022,Djibouti
34.0,5982765,173562364,2024,Bangladesh
21.0,370000,17423881,2023,Cambodia
20.0,264524,13065837,2020,Rwanda
10.0,1200110,118917672,2020,Ethiopia
1.1,30000,26498823,2024,North Korea
