Country,2020[7][8],2019[32],2018[33],2017[15],2016[34],2015[35]
World,77621582,91786861,95634593,97302534,95057929,90780583
China,25225242,25720665,27809196,29015434,28118794,24503326
United States,8822399,10880019,11314705,11189985,12198137,12100095
Japan,8067557,9684298,9728528,9693746,9204590,9278321
India[36],3490000,4516017,5174645,4782896,4519341,4160585
Mexico,3176600,3986794,4100770,4137544,4396356,4029463
South Korea,3506774,3950617,4028834,4134913,4228509,4555957
Germany[18],3742454,4661328,5120409,"[37]5,645,581","[37]5,746,808",6033164
Brazil,2014055,2944988,2879809,2699672,2156356,2429463
Spain,2268185,2822355,2819565,2848335,2885922,2733201
Thailand,1427074,2013710,2167694,1988823,1944417,1915420
Czech Republic,1159151,1433963,1442884,1419993,1349896,1303603
Iran,1297878,1461244,1550150,1695731,1485927,1358796
Canada,1376623,1916585,2020840,2199789,2370271,2283474
Indonesia,691286,1286848,1343714,1216615,1177389,1098780
Turkey,880997,821060,1095526,1515396,1164710,982337
Slovakia,990598,1107902,1090000,1001520,1040000,1035503
Russia[21],1435335,1719784,1767674,1551293,1303989,1384399
France,1316371,2202460,2270000,2227000,"[38]2,082,000","[38]1,972,000"
United Kingdom,987044,1381405,1604328,1749385,1816622,1682156
Malaysia,485186,571632,564800,460140,513445,614671
South Africa,447218,631983,610854,589951,599004,615658
Italy,777165,915305,1060068,1142210,1103516,1014223
Romania,438107,490412,476769,359250,359306,387177
Morocco,248430,394652,402085,376286,345106,288329
Poland,451382,498158,809646,789729,781837,760603
Argentina,257187,314787,466649,"[38]472,158","[38]472,776","[38]533,683"
Hungary,406497,498158,430988,505400,472000,495370
Uzbekistan[23],280080,271113,220667,140247,88152,185400
Portugal,264236,345704,294366,175544,143096,156626
Taiwan,245615,251304,253241,291563,309531,351085
Sweden,258000,249000,279000,291000,226000,205374
Belgium,267293,285797,308493,379140,399427,409340
Vietnam,165568,250000,237000,236161,236161,50000
Kazakhstan[24],74831,49400,31545,19071,10651,14477
Pakistan,117375,186751,269700,250800,214650,229686
Philippines,67297,95094,79763,141251,116686,112493
Austria,104544,179400,164900,99880,108000,125500
Slovenia[25],141714,199102,209378,189852,133702,133092
Algeria,754,60012,70597,60606,42008,19346
Belarus[26],31273,30487,23235,13428,16864,15033
Colombia,47281,78020,75476,74994,79036,78070
Egypt,23754,18500,71600,36640,36230,36000
Finland,86270,114785,112104,91598,55280,69053
Netherlands,127058,176113,214000,157280,44430,44122
Australia,4730,5606,6371,98632,161294,173009
Azerbaijan[27],1949,3014,1453,?,850,2145
Myanmar,10753,15496,–,–,–,–
Ecuador,–,–,2700,2700,4800,5986
North Korea[28],2000,2000,3000,3000,4000,4000
Tunisia,–,–,2000,1940,1940,540
Ukraine[29],4952,7266,6623,9542,5264,8244
Venezuela,–,–,1774,2850,18300,19759
Serbia[30],23375,35115,56449,79912,80320,83630
Bangladesh,–,–,580,580,540,536
