Country,2015[35],2014[39],2013[40],2012[41],2011[42][43],2010[43][44],2005[45],2000[46][11]
World,90780583,89747430,87507027,84141209,80092840,77629127,66482439,58374162
China,24503326,23722890,22116825,19271808,18418876,18264761,5717619,2069069
United States,12100095,11660699,11066432,10335765,8661535,7743093,11946653,12799857
Japan,9278321,9774558,9630181,9943077,8398630,9628920,10799659,10140796
India,"[36]4,160,585",3840160,3898425,4174713,3927411,3557073,1638674,801360
Mexico,4029463,4664779,4219380,4002508,3907861,"[47]3,981,728",3583076,3099522
South Korea,4555957,4524932,4521429,4561766,4657094,4271741,3699350,3114998
Germany[18],6033164,5907548,5718222,5649260,6146948,5905985,5757710,5526615
Brazil,2429463,3146306,3712380,3402508,3407861,3381728,2530840,1681527
Spain,2733201,2402978,2163338,1979179,2373329,2387900,2752500,3032874
Thailand,1915420,1880007,2457057,2429142,1457798,1644513,1122712,411721
Czech Republic,1303603,1251220,1132931,1178995,1199845,1076384,602237,455492
Iran,1358796,1170445,1125534,1072978,1189131,1094557,879452,430947
Canada,2283474,2393890,2379806,2463364,2135121,2068189,2687892,2961636
Indonesia,1098780,1298523,1206368,1052895,838388,702508,500710,379300
Turkey,982337,1090846,743647,1000089,1649311,1599454,1077190,277985
Slovakia,1035503,993000,975000,926555,639763,561933,218349,181783
Russia[21],1384399,1886646,2184266,2233103,1990155,1403244,1354504,1205581
France,"[38]1,972,000","[38]1,817,000","[38]1,740,000",1967765,2242928,2229421,3549008,3348361
United Kingdom,1682156,1598879,1597433,1576945,1463999,1393463,1803109,1813894
Malaysia,614671,596600,601407,572150,533695,567715,563408,282830
South Africa,615658,566083,545913,539424,532545,472049,525227,345297
Italy,1014223,697864,658206,671768,790348,838186,1038352,1738315
Romania,387177,391422,410997,337765,335232,350912,194802,78165
Morocco,288329,231986,167452,108743,59477,42066,33992,31314
Poland,760603,693904,690159,654756,708133,609474,543200,404972
Argentina,"[38]533,683",617329,791007,764495,828771,716540,319755,339632
Hungary,495370,437599,222400,217840,202800,211461,152015,137398
Uzbekistan[23],185400,245660,246641,164180,179560,156880,94437,32273
Portugal,156626,161509,154016,163561,192242,158723,226834,245784
Taiwan,351085,379223,338720,339038,343296,303456,446345,361800
Sweden,205374,"[37]188,987","[37]154,173","[37]161,080","[37]162,814","[37]188,969",217084,339229
Belgium,409340,516832,503504,538848,595084,555302,926515,1033294
Vietnam,50000,48871,37576,40470,31181,42286,31600,6862
Kazakhstan[24],14477,40162,40684,19186,8195,3176,–,–
Pakistan,229686,148746,134145,165700,162194,152970,153393,31500
Philippines,112493,106938,52260,55360,53921,65625,64492,38877
Austria,125500,154340,166428,143060,152505,104814,253279,141026
Slovenia[25],133092,118591,93734,130949,174119,205711,187247,98953
Algeria,19346,1244,–,–,–,–,–,–
Belarus[26],15033,22990,22926,25425,24343,15249,26995,19324
Colombia,78070,71137,70686,32466,41714,109333,"[48]23,979",–
Egypt,36000,42515,39050,56480,81731,116683,123425,59765
Finland,69053,45035,7703,2900,2540,6665,21644,38926
Netherlands,44122,29807,29183,57462,"[49]73,151",94132,102204,98823
Australia,173009,180311,215926,209730,224193,243495,394713,347122
Azerbaijan[27],2145,669,424,540,556,490,–,–
Ecuador,5986,24322,24322,24322,22335,32254,41047,–
Bulgaria,–,2508,2200,–,–,–,–,2200
North Korea[28],4000,4000,4000,4000,4000,4000,5000,7000
Tunisia,540,540,1860,1860,1860,–,–,–
Ukraine[29],8244,28751,50449,76281,104654,83133,215759,31255
Venezuela,19759,71753,104083,102409,104357,135425,21190,96400
Serbia[30],83630,103150,113878,11032,11023,18033,14179,12740
Bangladesh,536,–,–,–,–,–,–,–
Zimbabwe,–,829,829,829,257,960,792,–
Uruguay,–,–,–,–,–,–,14404,–
Kenya,–,3080,3080,2945,–,405,288,–
Chile,–,–,–,–,4700,6660,"[48]5,245",–
Nigeria,–,–,–,–,–,2937,7834,–
Peru,–,–,–,–,–,1566,–,–
