Country,2000 [46][11],1995 [11][13],1990 [9][10][14],1980 [9][10][14][50],1970 [9][10][14][50],1960 [9][10][14][50],1950 [9][10]
World,58374162,50046000,48553969,38564516,29419484,16488340,10577426
China,2069069,1434772,509242,222288,87166,22574,–
United States,12799857,11985457,9782997,8009841,8283949,7905119,8005859
Japan,10140796,10195536,13486796,11042884,5289157,481551,31597
India,801360,"[51]636,000",362655,113917,76409,51136,14688
Mexico,3099522,2629008,1814466,1565174,916089,533041,–
South Korea,3114998,2526400,1321630,123135,28819,–,–
Germany[18],5526615,4667364,4976552,3878553,3842247,2056149,306064
Brazil,1681527,1629008,914466,1165174,416089,133041,–
Spain,3032874,2333787,2053350,1181659,539132,58209,0253
Thailand,411721,533200,304843,73347,22055,–,–
Czech Republic,455492,216000,–,–,–,–,–
Iran,430947,282000,209150,50881,25000,–,–
Canada,2961636,2407999,1947106,1369607,1159504,397739,387726
Indonesia,379300,292710,–,103000,–,–,–
Turkey,277985,–,44665,161000,35000,–,–
Slovakia,181783,22600,–,–,–,–,–
Russia[21],1205581,608460,–,–,–,–,–
France,3348361,3474705,3768993,3378433,2750086,1369210,357512
United Kingdom,1813894,"[52]1,765,000",1565957,1312914,2098498,1810700,783672
Malaysia,282830,164000,191580,104227,–,–,–
South Africa,345297,–,334779,404766,297573,–,–
Italy,1738315,1667270,2120850,1610287,1854252,644633,127847
Romania,78165,93000,"[11][53]94,000",124000,59000,12000,
Morocco,31314,–,–,–,–,–,–
Poland,404972,381000,287975,237834,113087,37000,1000
Argentina,339632,286000,99639,281793,219599,89000,–
Hungary,137398,53000,–,–,–,3000,–
Uzbekistan[23],32273,–,–,–,–,–,–
Portugal,245784,57000,"[11][53]26,000",91000,–,–,–
Taiwan,361800,406000,"[11][53]382,000",132116,–,–,–
Sweden,339229,301343,490000,"[11][53]344,000",317000,311000,129000
Belgium,1033294,468000,1248290,923426,296000,"[11][54]1,000",–
Vietnam,"[48]6,862",–,–,–,–,–,–
Pakistan,31500,–,–,–,–,–,–
Philippines,38877,107000,–,–,–,–,–
Austria,141026,68000,"[11][53]20,000",14000,7000,13000,–
Slovenia[25],98953,–,–,–,–,–,–
Ireland,–,–,47000,–,–,–,–
Belarus[26],19324,–,–,40100,29800,18700,2400
Colombia,–,34850,43000,–,–,–,–
Egypt,59765,–,–,–,–,–,–
Finland,38926,–,–,–,–,–,–
Netherlands,98823,132000,"[11][53]111,000",97000,79000,19000,–
Australia,347122,331000,"[11][53]284,000",361000,475000,204000,58000
Bulgaria,2200,–,21000,12000,–,–,–
North Korea[28],7000,9000,13000,–,–,–,3000
Ukraine[29],31255,67400,–,206700,115700,7500,18300
Venezuela,96400,–,153000,–,–,–,–
Serbia[30],12740,–,–,–,–,–,–
Greece[55],–,567,18333,18187,2200,–,–
New Zealand,–,–,90000,55178,32409,9731,–
Soviet Union,–,–,2039600,2199200,916118,523591,362985
Czechoslovakia,–,–,242000,233112,169920,75000,31000
Yugoslavia,–,–,"[11][53]239,000",278000,124000,16000,1000
East Germany,–,–,–,216585,153378,77350,8243
