Country,Value exported (thousands USD),Value imported (thousands USD),Trade balance (thousands USD)
World,1858996360,1884166852,"−25,170,492"
Germany,280475009,141499360,138975649
China,224063343,69627297,154436046
Mexico,160602816,65509839,95092977
Japan,151370804,23370599,128000205
United States,144023208,391924659,"−247,901,451"
South Korea,95360918,20464181,74896737
Spain,59962549,47517264,12445285
Belgium,59949739,62643221,"−2,693,482"
Canada,58025722,90423645,"−32,397,923"
France,55573637,80304952,"−24,731,315"
Czech Republic,54050740,23304926,30745814
United Kingdom,48303019,88890000,"−40,586,981"
Italy,47008486,59564649,"−12,556,163"
Poland,41164358,40035713,1128645
Slovakia,38549721,19766076,18783645
Thailand,33741459,11068459,22673000
Turkey,31945201,31766400,178801
Hungary,28342014,15494309,12847705
Sweden,26452888,19861148,6591740
Netherlands,24560854,34735513,"−10,174,659"
India,22135958,8622717,13513241
Austria,20296909,22685295,"−2,388,386"
Romania,17319727,13943658,3376069
South Africa,12570385,7170589,5399796
Brazil,11896447,23348091,"−11,451,644"
Taiwan,11200994,11810776,"−609,782"
Indonesia,11073384,9794057,1279327
Portugal,10351980,13792021,"−3,440,041"
Vietnam,9893484,11900836,"−2,007,352"
Morocco,8586859,6247031,2339828
Argentina,5408672,9003977,"−3,595,305"
Slovenia,5325982,5516152,"−190,170"
Denmark,4791203,11843714,"−7,052,511"
Finland,3808193,7186918,"−3,378,725"
Hong Kong,3693339,5597143,"−1,903,804"
Singapore,3135308,4672463,"−1,537,155"
Switzerland,2984995,19072932,"−16,087,937"
Malaysia,2440313,8186775,"−5,746,462"
Lithuania,2422938,4718606,"−2,295,668"
Saudi Arabia,1683880,26280718,"−24,596,838"
Estonia,1682661,2760149,"−1,077,488"
Kuwait,1597950,5592063,"−3,994,113"
Australia,1597734,42630019,"−41,032,285"
Bulgaria,1595794,3609031,"−2,013,237"
Luxembourg,1584733,3702352,"−2,117,619"
Norway,1384806,10067262,"−8,682,456"
Croatia,1096746,3725807,"−2,629,061"
Serbia,1044307,2021437,"−977,130"
United Arab Emirates,1025920,29817631,"−28,791,711"
Latvia,1025808,2055489,"−1,029,681"
Philippines,1012996,9694261,"−8,681,265"
Tunisia,797028,1559652,"−762,624"
Russia,739216,29330681,"−28,591,465"
Ireland,650686,7051149,"−6,400,463"
Uzbekistan,636546,5644897,"−5,008,351"
Cambodia,519680,1721771,"−1,202,091"
Uruguay,505411,1806566,"−1,301,155"
Colombia,486527,5058925,"−4,572,398"
Kazakhstan,365836,6438497,"−6,072,661"
Bosnia and Herzegovina,356836,1232011,"−875,175"
Belarus,352756,4456794,"−4,104,038"
Panama,352296,1605011,"−1,252,715"
North Macedonia,346546,662879,"−316,333"
Greece,319196,4940568,"−4,621,372"
Chile,312176,7812595,"−7,500,419"
New Zealand,308799,5223608,"−4,914,809"
Egypt,242715,4878892,"−4,636,177"
Azerbaijan,187204,2193175,"−2,005,971"
Israel,138260,8936751,"−8,798,491"
Uganda,113504,858156,"−744,652"
Bangladesh,110626,1355011,"−1,244,385"
Armenia,104651,621757,"−517,106"
Peru,95754,4789480,"−4,693,726"
Pakistan,90484,1731038,"−1,640,554"
Kenya,90032,1203216,"−1,113,184"
Tanzania,89080,1750320,"−1,661,240"
Ukraine,86841,7550554,"−7,463,713"
Kyrgyzstan,85615,2277797,"−2,192,182"
Togo,82773,328492,"−245,719"
Guatemala,71450,2905071,"−2,833,621"
Zambia,62416,1190790,"−1,128,374"
Honduras,62028,1551293,"−1,489,265"
Oman,59966,2949642,"−2,889,676"
Moldova,54125,802341,"−748,216"
Sri Lanka,49442,254961,"−205,519"
Côte d'Ivoire,48941,1111013,"−1,062,072"
Albania,47812,965282,"−917,470"
Namibia,45459,688767,"−643,308"
Senegal,41537,687052,"−645,515"
Iran,33242,1934878,"−1,901,636"
Gibraltar,33120,66247,"−33,127"
Botswana,27608,518096,"−490,488"
El Salvador,25424,1085753,"−1,060,329"
Burkina Faso,24350,355845,"−331,495"
Jordan,24095,2705998,"−2,681,903"
Cyprus,22381,1031381,"−1,009,000"
Mali,19984,345740,"−325,756"
Myanmar,18997,352001,"−333,004"
Costa Rica,18309,2185490,"−2,167,181"
Dominican Republic,18109,2721475,"−2,703,366"
Mongolia,17708,2245546,"−2,227,838"
Montenegro,15830,423822,"−407,992"
Laos,15163,915942,"−900,779"
Tokelau,14678,207,14471
Georgia,14529,152645,"−138,116"
Central African Republic,14162,94273,"−80,111"
Andorra,13857,323826,"−309,969"
Lesotho,13419,110534,"−97,115"
Iceland,12288,752967,"−740,679"
Malawi,12139,234300,"−222,161"
North Korea,11542,18,11524
Nigeria,11282,2965637,"−2,954,355"
Jamaica,10702,637615,"−626,913"
Barbados,10616,154536,"−143,920"
Malta,10239,382473,"−372,234"
New Caledonia,9800,111346,"−101,546"
Ghana,9471,1543353,"−1,533,882"
Papua New Guinea,8726,434572,"−425,846"
Faroe Islands,8132,89768,"−81,636"
Trinidad and Tobago,8119,603884,"−595,765"
Qatar,7817,3338905,"−3,331,088"
Ecuador,7437,2106723,"−2,099,286"
Burundi,7247,100802,"−93,555"
Bahrain,7023,1232272,"−1,225,249"
Benin,6663,137570,"−130,907"
Bahamas,6624,279677,"−273,053"
Niger,6608,101118,"−94,510"
Mauritius,6242,681488,"−675,246"
Mozambique,5949,655413,"−649,464"
Angola,5769,770390,"−764,621"
Lebanon,5734,900008,"−894,274"
Macao,5551,350775,"−345,224"
Sierra Leone,4540,139588,"−135,048"
Fiji,4368,217398,"−213,030"
Grenada,4348,51524,"−47,176"
Turkmenistan,4278,226095,"−221,817"
Zimbabwe,4223,773151,"−768,928"
Somalia,4221,107981,"−103,760"
Guyana,4176,504475,"−500,299"
Bolivia,3620,778223,"−774,603"
Afghanistan,3503,304265,"−300,762"
Suriname,3389,184553,"−181,164"
Brunei,3000,84207,"−81,207"
Sao Tome and Principe,2934,3995,"−1,061"
British Virgin Islands,2396,27353,"−24,957"
Rwanda,2342,158882,"−156,540"
United States Minor Outlying Islands,2100,100275,"−98,175"
Tajikistan,1997,871051,"−869,054"
Cameroon,1990,504966,"−502,976"
Nicaragua,1879,915780,"−913,901"
Greenland,1840,47760,"−45,920"
Guinea,1734,846954,"−845,220"
Antigua and Barbuda,1591,63607,"−62,016"
DR Congo,1511,1096842,"−1,095,331"
Algeria,1443,4008558,"−4,007,115"
Gambia,1110,105980,"−104,870"
Saint Lucia,1086,104466,"−103,380"
Libya,1053,1418157,"−1,417,104"
Belize,1037,88281,"−87,244"
Solomon Islands,1015,43024,"−42,009"
Ethiopia,940,291233,"−290,293"
Sint Maarten (Dutch part),900,35212,"−34,312"
Venezuela,894,1129918,"−1,129,024"
Madagascar,871,282807,"−281,936"
Curaçao,805,148872,"−148,067"
Cuba,789,290972,"−290,183"
Eswatini,778,121055,"−120,277"
Mauritania,761,306167,"−305,406"
Gabon,705,201931,"−201,226"
Iraq,673,5076849,"−5,076,176"
Congo,642,242151,"−241,509"
Saint Vincent and the Grenadines,599,25480,"−24,881"
Sudan,549,223774,"−223,225"
Nepal,498,659311,"−658,813"
Marshall Islands,472,10746,"−10,274"
Djibouti,448,587073,"−586,625"
British Indian Ocean Territory,359,761,−402
Syria,355,48143,"−47,788"
Nauru,352,5341,"−4,989"
Anguilla,342,6382,"−6,040"
Seychelles,309,84503,"−84,194"
Yemen,286,467357,"−467,071"
"Bonaire, Sint Eustatius and Saba",234,3865,"−3,631"
Aruba,205,98101,"−97,896"
Saint Kitts and Nevis,205,22922,"−22,717"
Tonga,204,19543,"−19,339"
Cocos (Keeling) Islands,191,1135,−944
Cayman Islands,167,85085,"−84,918"
Cook Islands,165,9294,"−9,129"
French Southern and Antarctic Territories,154,4766,"−4,612"
Equatorial Guinea,141,34268,"−34,127"
Saint Pierre and Miquelon,141,5645,"−5,504"
Bermuda,132,53215,"−53,083"
Guinea-Bissau,102,15329,"−15,227"
South Sudan,98,49854,"−49,756"
Dominica,94,21228,"−21,134"
Montserrat,90,2367,"−2,277"
Turks and Caicos Islands,89,51381,"−51,292"
Chad,84,71035,"−70,951"
Wallis and Futuna,74,1568,"−1,494"
