Country,Trade Value
Germany,296592617
China,188468006
Japan,164627135
Mexico,155959504
United States,147871528
South Korea,84769589
Spain,68416179
France,64022037
Canada,63597528
Italy,54378151
Czech Republic,53244400
United Kingdom,49303238
Slovakia,47221080
Belgium,44378211
Thailand,39904034
Poland,38421669
Turkey,31642295
Netherlands,31445177
Sweden,30497020
Hungary,26588733
Austria,22951241
India,22097313
Romania,19049515
South Africa,16213500
Brazil,12773116
Taiwan,12205612
Indonesia,11743231
United Arab Emirates,11714776
Portugal,11306987
Singapore,10738888
Morocco,8715766
Argentina,8108585
Slovenia,6269195
Denmark,5428005
Vietnam,4787790
Finland,4756044
Lithuania,3001314
Switzerland,2926245
Malaysia,2285698
Estonia,1778375
Bulgaria,1683823
Norway,1673517
Australia,1408348
Luxembourg,1391668
Serbia,1251765
Latvia,1045996
Saudi Arabia,960131
Hong Kong,862234
Croatia,796623
Russia,794540
Kuwait,794039
North Macedonia,774445
Tunisia,749161
Philippines,708684
Ireland,654438
Cambodia,647629
Oman,635173
Kazakhstan,592178
Colombia,550491
Uzbekistan,538906
Armenia,518124
Uruguay,406636
Bahrain,397041
Greece,384231
Chile,379094
Bosnia and Herzegovina,332230
New Zealand,290158
Belarus,279334
Israel,266342
Egypt,214314
Azerbaijan,183758
Zambia,179891
Ukraine,173834
Tokelau,147085
Kyrgyzstan,135882
Kenya,120128
Bangladesh,107201
Sri Lanka,96954
Pakistan,84809
Uganda,83524
Peru,74234
Guatemala,70129
Qatar,64152
Moldova,63926
Honduras,61540
Jordan,61349
Tanzania,59100
Dominican Republic,47385
Andorra,47125
Malta,42503
Georgia,40216
Cote d'Ivoire,39201
Cyprus,37214
Burkina Faso,37142
Albania,35416
Namibia,32828
Costa Rica,30096
Myanmar,29663
Mauritius,27298
Macau,26610
Iran,26118
Nigeria,22641
El Salvador,21118
Senegal,20987
Montenegro,19161
Panama,18729
Botswana,18622
Iceland,18326
Gibraltar,16600
Togo,12758
Mozambique,12485
Benin,10245
Jamaica,9128
Gabon,8799
Eswatini,8252
Lebanon,7960
Paraguay,7422
Niger,7137
Curacao,7130
Ghana,6682
North Korea,6660
Ethiopia,6495
Lesotho,6494
Mali,6440
Ecuador,6144
Sao Tome and Principe,4764
Bolivia,4581
Malawi,4568
Seychelles,4488
Bahamas,4267
Brunei,4235
Nicaragua,4080
British Virgin Islands,4058
Yemen,4056
Zimbabwe,4050
Saint Helena,3887
Laos,3713
Papua New Guinea,3668
New Caledonia,3577
Anguilla,3387
Sierra Leone,3172
Algeria,3060
Turkmenistan,2950
Fiji,2648
Mongolia,2492
Angola,2392
Suriname,2127
Guinea,1996
Barbados,1916
Gambia,1795
Liberia,1727
San Marino,1727
Greenland,1704
Mauritania,1612
Tajikistan,1471
Belize,1406
Rwanda,1331
Cameroon,1239
Libya,1231
Marshall Islands,1178
Trinidad and Tobago,1117
Madagascar,1101
Afghanistan,995
DR Congo,966
Syria,949
Cocos (Keeling) Islands,907
Saint Lucia,905
Saint Vincent and the Grenadines,866
Iraq,785
Somalia,771
American Samoa,688
Venezuela,668
Djibouti,596
Cuba,517
Congo,431
French Polynesia,405
Saint Barthelemy,390
Aruba,370
South Sudan,326
Equatorial Guinea,324
Micronesia,291
Antigua and Barbuda,275
Comoros,235
Bonaire,227
Haiti,222
Dominica,217
Turks and Caicos Islands,197
Tonga,193
Nepal,192
Wallis and Futuna,191
Norfolk Island,189
Cayman Islands,174
Saint Martin,168
Guyana,164
Sudan,152
Guinea-Bissau,143
Guam,141
Central African Republic,121
Nauru,109
Maldives,99
Solomon Islands,95
Cape Verde,90
Bermuda,84
Vanuatu,64
Grenada,61
Eritrea,56
Chad,42
Falkland Islands,39
Saint Pierre and Miquelon,35
British Indian Ocean Territory,35
Burundi,35
Samoa,34
Cook Islands,31
Saint Kitts and Nevis,28
Christmas Island,26
Timor-Leste,24
Tuvalu,24
French South Antarctic Territory,17
Kiribati,16
Niue,13
Pitcairn Islands,11
Montserrat,11
Bhutan,9
Palestine,4
Palau,3
Northern Mariana Islands,2
