Product category (code),Global exports (in millions USD),Rank,Country,Exports (in millions USD)
Tractors (8701),87184.0,1.0,Germany,13892.0
Tractors (8701),87184.0,2.0,Mexico,13442.0
Tractors (8701),87184.0,3.0,Netherlands,8532.0
Tractors (8701),87184.0,4.0,United States,7917.0
Tractors (8701),87184.0,5.0,China,7552.0
,,,,
"Motor vehicles for the transport of 10 or more persons, incl. driver (8702)",18589.0,1.0,China,4432.0
"Motor vehicles for the transport of 10 or more persons, incl. driver (8702)",18589.0,2.0,Turkey,2318.0
"Motor vehicles for the transport of 10 or more persons, incl. driver (8702)",18589.0,3.0,Japan,2299.0
"Motor vehicles for the transport of 10 or more persons, incl. driver (8702)",18589.0,4.0,Poland,1605.0
"Motor vehicles for the transport of 10 or more persons, incl. driver (8702)",18589.0,5.0,Czech Republic,1024.0
,,,,
"Motor cars and other motor vehicles principally designed for the transport of 10 or fewer persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702) (8703)",958738.0,1.0,Germany,177225.0
"Motor cars and other motor vehicles principally designed for the transport of 10 or fewer persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702) (8703)",958738.0,2.0,Japan,110937.0
"Motor cars and other motor vehicles principally designed for the transport of 10 or fewer persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702) (8703)",958738.0,3.0,China,77659.0
"Motor cars and other motor vehicles principally designed for the transport of 10 or fewer persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702) (8703)",958738.0,4.0,South Korea,68680.0
"Motor cars and other motor vehicles principally designed for the transport of 10 or fewer persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702) (8703)",958738.0,5.0,United States,52261.0
,,,,
"Motor vehicles for the transport of goods, incl. chassis with engine and cab (8704)",185642.0,1.0,Mexico,37725.0
"Motor vehicles for the transport of goods, incl. chassis with engine and cab (8704)",185642.0,2.0,United States,32725.0
"Motor vehicles for the transport of goods, incl. chassis with engine and cab (8704)",185642.0,3.0,Germany,28986.0
"Motor vehicles for the transport of goods, incl. chassis with engine and cab (8704)",185642.0,4.0,China,21621.0
"Motor vehicles for the transport of goods, incl. chassis with engine and cab (8704)",185642.0,5.0,France,10345.0
,,,,
Special purpose motor vehicles (8705),16599.0,1.0,Germany,4510.0
Special purpose motor vehicles (8705),16599.0,2.0,China,3000.0
