Country,Value exported 2024,Value imported 2024,Trade balance 2024,Value exported 2023
World,1858996360,1884166852,-25170492,
Germany,280475009,141499360,138975649,296592617.0
China,224063343,69627297,154436046,188468006.0
Mexico,160602816,65509839,95092977,155959504.0
Japan,151370804,23370599,128000205,164627135.0
United States,144023208,391924659,-247901451,147871528.0
South Korea,95360918,20464181,74896737,84769589.0
Spain,59962549,47517264,12445285,68416179.0
Belgium,59949739,62643221,-2693482,44378211.0
Canada,58025722,90423645,-32397923,63597528.0
France,55573637,80304952,-24731315,64022037.0
Czech Republic,54050740,23304926,30745814,53244400.0
United Kingdom,48303019,88890000,-40586981,49303238.0
Italy,47008486,59564649,-12556163,54378151.0
Poland,41164358,40035713,1128645,38421669.0
Slovakia,38549721,19766076,18783645,47221080.0
Thailand,33741459,11068459,22673000,39904034.0
Turkey,31945201,31766400,178801,31642295.0
Hungary,28342014,15494309,12847705,26588733.0
Sweden,26452888,19861148,6591740,30497020.0
Netherlands,24560854,34735513,-10174659,31445177.0
India,22135958,8622717,13513241,22097313.0
Austria,20296909,22685295,-2388386,22951241.0
Romania,17319727,13943658,3376069,19049515.0
South Africa,12570385,7170589,5399796,16213500.0
Brazil,11896447,23348091,-11451644,12773116.0
Taiwan,11200994,11810776,-609782,12205612.0
Indonesia,11073384,9794057,1279327,11743231.0
Portugal,10351980,13792021,-3440041,11306987.0
Vietnam,9893484,11900836,-2007352,4787790.0
Morocco,8586859,6247031,2339828,8715766.0
Argentina,5408672,9003977,-3595305,8108585.0
Slovenia,5325982,5516152,-190170,6269195.0
Denmark,4791203,11843714,-7052511,5428005.0
Finland,3808193,7186918,-3378725,4756044.0
Hong Kong,3693339,5597143,-1903804,862234.0
Singapore,3135308,4672463,-1537155,10738888.0
Switzerland,2984995,19072932,-16087937,2926245.0
Malaysia,2440313,8186775,-5746462,2285698.0
Lithuania,2422938,4718606,-2295668,3001314.0
Saudi Arabia,1683880,26280718,-24596838,960131.0
Estonia,1682661,2760149,-1077488,1778375.0
Kuwait,1597950,5592063,-3994113,794039.0
Australia,1597734,42630019,-41032285,1408348.0
Bulgaria,1595794,3609031,-2013237,1683823.0
Luxembourg,1584733,3702352,-2117619,1391668.0
Norway,1384806,10067262,-8682456,1673517.0
Croatia,1096746,3725807,-2629061,796623.0
Serbia,1044307,2021437,-977130,1251765.0
United Arab Emirates,1025920,29817631,-28791711,11714776.0
Latvia,1025808,2055489,-1029681,1045996.0
Philippines,1012996,9694261,-8681265,708684.0
Tunisia,797028,1559652,-762624,749161.0
Russia,739216,29330681,-28591465,794540.0
Ireland,650686,7051149,-6400463,654438.0
Uzbekistan,636546,5644897,-5008351,538906.0
Cambodia,519680,1721771,-1202091,647629.0
Uruguay,505411,1806566,-1301155,406636.0
Colombia,486527,5058925,-4572398,550491.0
Kazakhstan,365836,6438497,-6072661,592178.0
Bosnia and Herzegovina,356836,1232011,-875175,332230.0
Belarus,352756,4456794,-4104038,279334.0
Panama,352296,1605011,-1252715,18729.0
North Macedonia,346546,662879,-316333,774445.0
Greece,319196,4940568,-4621372,384231.0
Chile,312176,7812595,-7500419,379094.0
New Zealand,308799,5223608,-4914809,290158.0
Egypt,242715,4878892,-4636177,214314.0
Azerbaijan,187204,2193175,-2005971,183758.0
Israel,138260,8936751,-8798491,266342.0
